"instance","selection","crossover","mutation","popsize","pcrossover","pmutation","seed","h2b"
1,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,1.71739130434783
2,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,1.20289855072464
3,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,11.25
4,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,3.76
5,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,2.76315789473684
6,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,7.06666666666667
7,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,4.61538461538461
8,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,4.16666666666667
9,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,4.33333333333333
10,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,3.11538461538462
1,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,1.71739130434783
2,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,1.20289855072464
3,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,11.25
4,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,3.76
5,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,2.76315789473684
6,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,7.06666666666667
7,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,4.61538461538461
8,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,4.16666666666667
9,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,4.33333333333333
10,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_ismMutation",50,1,0.1,1,3.11538461538462
1,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,1.71739130434783
2,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,1.20289855072464
3,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,11.25
4,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,3.76
5,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,2.76315789473684
6,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,7.06666666666667
7,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,4.61538461538461
8,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,4.16666666666667
9,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,4.33333333333333
10,"gaperm_lrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,3.11538461538462
1,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,1.71739130434783
2,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,1.20289855072464
3,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,11.25
4,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,3.76
5,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,2.76315789473684
6,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,7.06666666666667
7,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,4.61538461538461
8,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,4.16666666666667
9,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,4.33333333333333
10,"gaperm_nlrSelection","gaperm_oxCrossover","gaperm_ismMutation",50,1,0.1,1,3.11538461538462
1,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,1.71739130434783
2,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,1.20289855072464
3,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,11.25
4,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,3.76
5,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,2.76315789473684
6,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,7.06666666666667
7,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,4.61538461538461
8,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,4.16666666666667
9,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,4.33333333333333
10,"gaperm_lrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,3.11538461538462
1,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,1.71739130434783
2,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,1.20289855072464
3,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,11.25
4,"gaperm_nlrSelection","gaperm_cxCrossover","gaperm_swMutation",50,1,0.1,1,3.76
