"run","Tmax","mu","op","h2b"
1,5000,500,"swap",0.0185633575464084
2,5000,500,"swap",0.0129136400322841
3,5000,500,"swap",0.0435835351089588
4,5000,500,"swap",0.0129136400322841
5,5000,500,"swap",0.0161420500403551
6,5000,500,"swap",0.033091202582728
7,5000,500,"swap",0.0290556900726392
8,5000,500,"swap",0.0129136400322841
9,5000,500,"swap",0.0217917675544794
10,5000,500,"swap",0.0225988700564972
1,10000,500,"swap",0.0145278450363196
2,10000,500,"swap",0.0169491525423729
3,10000,500,"swap",0.0217917675544794
4,10000,500,"swap",0.0129136400322841
5,10000,500,"swap",0.0137207425343019
6,10000,500,"swap",0.0242130750605327
7,10000,500,"swap",0.0177562550443906
8,10000,500,"swap",0.0169491525423729
9,10000,500,"swap",0.0169491525423729
10,10000,500,"swap",0.0129136400322841
1,5000,1000,"swap",0.0169491525423729
2,5000,1000,"swap",0.0129136400322841
3,5000,1000,"swap",0.0129136400322841
4,5000,1000,"swap",0.0129136400322841
5,5000,1000,"swap",0.0129136400322841
6,5000,1000,"swap",0.0129136400322841
7,5000,1000,"swap",0.0242130750605327
8,5000,1000,"swap",0.0129136400322841
9,5000,1000,"swap",0.0129136400322841
10,5000,1000,"swap",0.0129136400322841
1,10000,1000,"swap",0.0258272800645682
2,10000,1000,"swap",0.0129136400322841
3,10000,1000,"swap",0.0193704600484262
4,10000,1000,"swap",0.0169491525423729
5,10000,1000,"swap",0.0242130750605327
6,10000,1000,"swap",0.0129136400322841
7,10000,1000,"swap",0.0185633575464084
8,10000,1000,"swap",0.00645682001614205
9,10000,1000,"swap",0.0129136400322841
10,10000,1000,"swap",0.0129136400322841
1,5000,5000,"swap",0.0242130750605327
2,5000,5000,"swap",0.0242130750605327
3,5000,5000,"swap",0.0185633575464084
4,5000,5000,"swap",0.0242130750605327
5,5000,5000,"swap",0.00645682001614205
6,5000,5000,"swap",0.0242130750605327
7,5000,5000,"swap",0.0137207425343019
8,5000,5000,"swap",0.0129136400322841
9,5000,5000,"swap",0.0193704600484262
10,5000,5000,"swap",0.0169491525423729
1,10000,5000,"swap",0.00726392251815981
2,10000,5000,"swap",0.00645682001614205
3,10000,5000,"swap",0.0129136400322841
4,10000,5000,"swap",0.0112994350282486
5,10000,5000,"swap",0.0169491525423729
6,10000,5000,"swap",0.0242130750605327
7,10000,5000,"swap",0.0129136400322841
8,10000,5000,"swap",0.0129136400322841
9,10000,5000,"swap",0.00645682001614205
10,10000,5000,"swap",0.0129136400322841
1,5000,10000,"swap",0.0242130750605327
2,5000,10000,"swap",0.0129136400322841
3,5000,10000,"swap",0.00807102502017756
4,5000,10000,"swap",0.00645682001614205
5,5000,10000,"swap",0.0129136400322841
6,5000,10000,"swap",0.0242130750605327
7,5000,10000,"swap",0.0242130750605327
8,5000,10000,"swap",0.0129136400322841
9,5000,10000,"swap",0.0129136400322841
10,5000,10000,"swap",0.0193704600484262
1,10000,10000,"swap",0.00645682001614205
2,10000,10000,"swap",0.0242130750605327
3,10000,10000,"swap",0.00645682001614205
4,10000,10000,"swap",0.0129136400322841
5,10000,10000,"swap",0.0242130750605327
6,10000,10000,"swap",0.0129136400322841
7,10000,10000,"swap",0.0104923325262308
8,10000,10000,"swap",0.0129136400322841
9,10000,10000,"swap",0.0258272800645682
10,10000,10000,"swap",0.0129136400322841
1,5000,500,"insertion",0.0129136400322841
2,5000,500,"insertion",0.0185633575464084
3,5000,500,"insertion",0.0161420500403551
4,5000,500,"insertion",0.0242130750605327
5,5000,500,"insertion",0.0169491525423729
6,5000,500,"insertion",0.0185633575464084
7,5000,500,"insertion",0.0169491525423729
8,5000,500,"insertion",0.0129136400322841
9,5000,500,"insertion",0.0169491525423729
10,5000,500,"insertion",0.0129136400322841
1,10000,500,"insertion",0.0185633575464084
2,10000,500,"insertion",0.0185633575464084
3,10000,500,"insertion",0.0169491525423729
